"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"ctli:Type_List:1                     ","Class","Type_List","1.0.0.0","ctli","The Type List class provides a list of values and their value meanings.","ctli","","","","","","","","","","",""
"ctli:Type_List:2                      ctli:type:1                          ","Attribute","type","n/a","ctli"," The type attribute provides a character string which uniquely identifies the object. ","ctli","UTF8_Short_String_Collapsed","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ctli:Type_List:2                      ctli:subtype:1                       ","Attribute","subtype","n/a","ctli","The subtype attribute provides additional nuance or clarity to the type attribute.","ctli","UTF8_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
